species_code,species_name
CECO,Ceanothus cordulatus
DWD,Down woody debris
POAZ,Poaceae spp
SYMO,Symphoricarpos mollis
BG,Bare ground
ARPA,Arctostaphylos patula
SALIX,Salix spp
ROCK,Rock
CEPR,Ceanothus prostratus
RIBES,Ribes spp
SAME,Sambucus mexicana
RINE,Ribes nevadense
ASTZ,Asteraceae spp
APAN,Apocynum androsaemifolium
CEVE,Ceanothus velutinus
PREM,Prunus emarginata
LUAL,Lupinus albifrons
POLZ,Polypodiales spp
LITTER,Litter
WYMO,Wyethia mollis
AMUT,Amelanchier utahensis
MON-,Monardella spp
ACMI,Achillea millefolium
PIPO,Pinus ponderosa
ERNA,Ericameria nauseosa
ARME,Artemisia douglasiana
L,Litter
PUTR,Pursia Tridentata
LUP-,Unidentified Lupine
UFO,Unidentified Forb
ABCO,Abies Concolor
FRVI,
PSME,Pseudotsuga menziesii
PIJE,Pinus jeffreyi
TRLA,Trientalis latifolia
PICO,Pinus contorta 
MOSS,moss
TREE,Unnamed Tree
ROGY,Rosa gymnocarpa
WATER,water
STREAM BED,Stream Bed
ROWO,
POP-,Unidentified Populus
ARVI,Arctostaphylos viscida
ARDO,Artemesia douglasiana
FRVE,Fragaria vesca
RUPA,Rubus parviflorus
SOMU,Solidago multiradiata