"block","plot","transect","subtransect","date","slope","startpoint_m","x1_hour_count","x10_hour_count","x100_hour_count"
"E1","E1:CG","E1:CG:M","E1:CG:M:1","2017-06-27",23,3,2,5,0
"E1","E1:CG","E1:CG:M","E1:CG:M:1","2017-06-27",23,13,6,6,2
"E1","E1:CG","E1:CG:M","E1:CG:M:1","2017-06-27",23,23,2,2,0
"E1","E1:CG","E1:CG:M","E1:CG:M:2","2017-06-27",24,3,0,0,0
"E1","E1:CG","E1:CG:M","E1:CG:M:2","2017-06-27",24,13,0,0,1
"E1","E1:CG","E1:CG:M","E1:CG:M:2","2017-06-27",24,23,0,2,2
"E1","E1:CG","E1:CG:M","E1:CG:M:3","2017-06-27",NA,3,3,0,0
"E1","E1:CG","E1:CG:M","E1:CG:M:3","2017-06-27",NA,13,0,4,3
"E1","E1:CG","E1:CG:M","E1:CG:M:3","2017-06-27",NA,23,0,1,3
"E1","E1:CG","E1:CG:N","E1:CG:N:1","2017-06-27",24,3,0,3,2
"E1","E1:CG","E1:CG:N","E1:CG:N:1","2017-06-27",24,13,0,1,2
"E1","E1:CG","E1:CG:N","E1:CG:N:1","2017-06-27",24,23,2,0,1
"E1","E1:CG","E1:CG:N","E1:CG:N:2","2017-06-27",30,3,0,3,5
"E1","E1:CG","E1:CG:N","E1:CG:N:2","2017-06-27",30,13,2,6,3
"E1","E1:CG","E1:CG:N","E1:CG:N:2","2017-06-27",30,23,1,2,3
"E1","E1:CG","E1:CG:N","E1:CG:N:3","2017-06-27",24,3,0,1,4
"E1","E1:CG","E1:CG:N","E1:CG:N:3","2017-06-27",24,13,0,1,1
"E1","E1:CG","E1:CG:N","E1:CG:N:3","2017-06-27",24,23,0,0,3
"E1","E1:CG","E1:CG:S","E1:CG:S:1","2017-06-27",28,3,1,1,0
"E1","E1:CG","E1:CG:S","E1:CG:S:1","2017-06-27",28,13,0,2,4
"E1","E1:CG","E1:CG:S","E1:CG:S:1","2017-06-27",28,23,4,3,1
"E1","E1:CG","E1:CG:S","E1:CG:S:2","2017-06-27",15,3,0,2,1
"E1","E1:CG","E1:CG:S","E1:CG:S:2","2017-06-27",15,13,1,6,5
"E1","E1:CG","E1:CG:S","E1:CG:S:2","2017-06-27",15,23,0,0,1
"E1","E1:CG","E1:CG:S","E1:CG:S:3","2017-06-27",16,3,0,2,2
"E1","E1:CG","E1:CG:S","E1:CG:S:3","2017-06-27",16,13,0,4,0
"E1","E1:CG","E1:CG:S","E1:CG:S:3","2017-06-27",16,23,0,1,0
"E1","E1:CH","E1:CH:M","E1:CH:M:1","2017-06-29",18,3,0,0,1
"E1","E1:CH","E1:CH:M","E1:CH:M:1","2017-06-29",18,13,0,2,6
"E1","E1:CH","E1:CH:M","E1:CH:M:1","2017-06-29",18,23,2,3,2
"E1","E1:CH","E1:CH:M","E1:CH:M:2","2017-06-29",16,3,0,2,0
"E1","E1:CH","E1:CH:M","E1:CH:M:2","2017-06-29",16,13,0,2,0
"E1","E1:CH","E1:CH:M","E1:CH:M:2","2017-06-29",16,23,0,1,0
"E1","E1:CH","E1:CH:M","E1:CH:M:3","2017-06-29",29,3,0,3,0
"E1","E1:CH","E1:CH:M","E1:CH:M:3","2017-06-29",29,13,2,5,4
"E1","E1:CH","E1:CH:M","E1:CH:M:3","2017-06-29",29,23,1,1,0
"E1","E1:CH","E1:CH:N","E1:CH:N:1","2017-06-29",29,3,1,0,1
"E1","E1:CH","E1:CH:N","E1:CH:N:1","2017-06-29",29,13,0,5,0
"E1","E1:CH","E1:CH:N","E1:CH:N:1","2017-06-29",29,23,1,10,4
"E1","E1:CH","E1:CH:N","E1:CH:N:2","2017-06-29",23,3,0,1,0
"E1","E1:CH","E1:CH:N","E1:CH:N:2","2017-06-29",23,13,0,3,0
"E1","E1:CH","E1:CH:N","E1:CH:N:2","2017-06-29",23,23,6,3,1
"E1","E1:CH","E1:CH:N","E1:CH:N:3","2017-06-29",30,3,2,6,3
"E1","E1:CH","E1:CH:N","E1:CH:N:3","2017-06-29",30,13,0,3,3
"E1","E1:CH","E1:CH:N","E1:CH:N:3","2017-06-29",30,23,0,2,2
"E1","E1:CH","E1:CH:S","E1:CH:S:1","2017-06-29",20,3,2,6,7
"E1","E1:CH","E1:CH:S","E1:CH:S:1","2017-06-29",20,13,2,6,0
"E1","E1:CH","E1:CH:S","E1:CH:S:1","2017-06-29",20,23,1,3,3
"E1","E1:CH","E1:CH:S","E1:CH:S:2","2017-06-29",13,3,2,2,1
"E1","E1:CH","E1:CH:S","E1:CH:S:2","2017-06-29",13,13,7,10,0
"E1","E1:CH","E1:CH:S","E1:CH:S:2","2017-06-29",13,23,2,8,7
"E1","E1:CH","E1:CH:S","E1:CH:S:3","2017-06-29",25,3,0,3,4
"E1","E1:CH","E1:CH:S","E1:CH:S:3","2017-06-29",25,13,3,3,13
"E1","E1:CH","E1:CH:S","E1:CH:S:3","2017-06-29",25,23,0,2,0
"E1","E1:CN","E1:CN:M","E1:CN:M:1","2017-06-28",0,3,4,10,2
"E1","E1:CN","E1:CN:M","E1:CN:M:1","2017-06-28",0,13,2,4,1
"E1","E1:CN","E1:CN:M","E1:CN:M:1","2017-06-28",0,23,0,0,4
"E1","E1:CN","E1:CN:M","E1:CN:M:2","2017-06-28",10,3,2,1,0
"E1","E1:CN","E1:CN:M","E1:CN:M:2","2017-06-28",10,13,0,0,1
"E1","E1:CN","E1:CN:M","E1:CN:M:2","2017-06-28",10,23,3,4,3
"E1","E1:CN","E1:CN:M","E1:CN:M:3","2017-06-28",10,3,0,2,1
"E1","E1:CN","E1:CN:M","E1:CN:M:3","2017-06-28",10,13,1,2,0
"E1","E1:CN","E1:CN:M","E1:CN:M:3","2017-06-28",10,23,0,0,1
"E1","E1:CN","E1:CN:N","E1:CN:N:1","2017-06-28",1,3,1,2,0
"E1","E1:CN","E1:CN:N","E1:CN:N:1","2017-06-28",1,13,1,4,1
"E1","E1:CN","E1:CN:N","E1:CN:N:1","2017-06-28",1,23,4,6,0
"E1","E1:CN","E1:CN:N","E1:CN:N:2","2017-06-28",6,3,0,6,3
"E1","E1:CN","E1:CN:N","E1:CN:N:2","2017-06-28",6,13,1,8,6
"E1","E1:CN","E1:CN:N","E1:CN:N:2","2017-06-28",6,23,0,1,1
"E1","E1:CN","E1:CN:N","E1:CN:N:3","2017-06-28",2,3,1,5,2
"E1","E1:CN","E1:CN:N","E1:CN:N:3","2017-06-28",2,13,1,4,3
"E1","E1:CN","E1:CN:N","E1:CN:N:3","2017-06-28",2,23,0,0,2
"E1","E1:CN","E1:CN:S","E1:CN:S:1","2017-06-28",6,3,3,1,0
"E1","E1:CN","E1:CN:S","E1:CN:S:1","2017-06-28",6,13,0,1,0
"E1","E1:CN","E1:CN:S","E1:CN:S:1","2017-06-28",6,23,0,1,1
"E1","E1:CN","E1:CN:S","E1:CN:S:2","2017-06-28",14,3,2,6,3
"E1","E1:CN","E1:CN:S","E1:CN:S:2","2017-06-28",14,13,1,3,0
"E1","E1:CN","E1:CN:S","E1:CN:S:2","2017-06-28",14,23,4,2,3
"E1","E1:CN","E1:CN:S","E1:CN:S:3","2017-06-28",11,3,3,0,2
"E1","E1:CN","E1:CN:S","E1:CN:S:3","2017-06-28",11,13,16,3,0
"E1","E1:CN","E1:CN:S","E1:CN:S:3","2017-06-28",11,23,0,1,1
"E1","E1:EG","E1:EG:M","E1:EG:M:1","2017-07-11",16,3,0,2,1
"E1","E1:EG","E1:EG:M","E1:EG:M:1","2017-07-11",16,13,1,3,1
"E1","E1:EG","E1:EG:M","E1:EG:M:1","2017-07-11",16,23,1,2,0
"E1","E1:EG","E1:EG:M","E1:EG:M:2","2017-07-11",20,3,0,2,4
"E1","E1:EG","E1:EG:M","E1:EG:M:2","2017-07-11",20,13,1,3,2
"E1","E1:EG","E1:EG:M","E1:EG:M:2","2017-07-11",20,23,0,3,0
"E1","E1:EG","E1:EG:M","E1:EG:M:3","2017-07-11",40,3,2,4,2
"E1","E1:EG","E1:EG:M","E1:EG:M:3","2017-07-11",40,13,1,8,1
"E1","E1:EG","E1:EG:M","E1:EG:M:3","2017-07-11",40,23,0,1,0
"E1","E1:EG","E1:EG:N","E1:EG:N:1","2017-07-10",20,3,0,1,0
"E1","E1:EG","E1:EG:N","E1:EG:N:1","2017-07-10",20,13,1,4,1
"E1","E1:EG","E1:EG:N","E1:EG:N:1","2017-07-10",20,23,0,0,0
"E1","E1:EG","E1:EG:N","E1:EG:N:2","2017-07-10",30,3,2,3,1
"E1","E1:EG","E1:EG:N","E1:EG:N:2","2017-07-10",30,13,5,4,1
"E1","E1:EG","E1:EG:N","E1:EG:N:2","2017-07-10",30,23,2,5,0
"E1","E1:EG","E1:EG:N","E1:EG:N:3","2017-07-10",46,3,1,1,1
"E1","E1:EG","E1:EG:N","E1:EG:N:3","2017-07-10",46,13,5,4,1
"E1","E1:EG","E1:EG:N","E1:EG:N:3","2017-07-10",46,23,0,0,0
"E1","E1:EG","E1:EG:S","E1:EG:S:1","2017-07-11",19,3,0,3,2
"E1","E1:EG","E1:EG:S","E1:EG:S:1","2017-07-11",19,13,1,2,5
"E1","E1:EG","E1:EG:S","E1:EG:S:1","2017-07-11",19,23,0,3,0
"E1","E1:EG","E1:EG:S","E1:EG:S:2","2017-07-11",16,3,3,3,4
"E1","E1:EG","E1:EG:S","E1:EG:S:2","2017-07-11",16,13,0,1,0
"E1","E1:EG","E1:EG:S","E1:EG:S:2","2017-07-11",16,23,0,0,0
"E1","E1:EG","E1:EG:S","E1:EG:S:3","2017-07-11",30,3,3,1,0
"E1","E1:EG","E1:EG:S","E1:EG:S:3","2017-07-11",30,13,4,6,0
"E1","E1:EG","E1:EG:S","E1:EG:S:3","2017-07-11",30,23,2,4,0
"E1","E1:EH","E1:EH:M","E1:EH:M:1","2017-07-04",4,3,2,4,3
"E1","E1:EH","E1:EH:M","E1:EH:M:1","2017-07-04",4,13,0,1,0
"E1","E1:EH","E1:EH:M","E1:EH:M:1","2017-07-04",4,23,0,4,2
"E1","E1:EH","E1:EH:M","E1:EH:M:2","2017-07-04",3,3,2,2,0
"E1","E1:EH","E1:EH:M","E1:EH:M:2","2017-07-04",3,13,4,0,0
"E1","E1:EH","E1:EH:M","E1:EH:M:2","2017-07-04",3,23,0,0,2
"E1","E1:EH","E1:EH:M","E1:EH:M:3","2017-07-04",15,3,0,0,0
"E1","E1:EH","E1:EH:M","E1:EH:M:3","2017-07-04",15,13,1,3,0
"E1","E1:EH","E1:EH:M","E1:EH:M:3","2017-07-04",15,23,0,0,1
"E1","E1:EH","E1:EH:N","E1:EH:N:1","2017-07-04",10,3,0,0,1
"E1","E1:EH","E1:EH:N","E1:EH:N:1","2017-07-04",10,13,0,0,0
"E1","E1:EH","E1:EH:N","E1:EH:N:1","2017-07-04",10,23,0,0,0
"E1","E1:EH","E1:EH:N","E1:EH:N:2","2017-07-04",7,3,7,4,5
"E1","E1:EH","E1:EH:N","E1:EH:N:2","2017-07-04",7,13,1,1,0
"E1","E1:EH","E1:EH:N","E1:EH:N:2","2017-07-04",7,23,2,2,3
"E1","E1:EH","E1:EH:N","E1:EH:N:3","2017-07-04",6,3,0,1,0
"E1","E1:EH","E1:EH:N","E1:EH:N:3","2017-07-04",6,13,1,3,1
"E1","E1:EH","E1:EH:N","E1:EH:N:3","2017-07-04",6,23,0,0,1
"E1","E1:EH","E1:EH:S","E1:EH:S:1","2017-07-04",9,3,0,4,2
"E1","E1:EH","E1:EH:S","E1:EH:S:1","2017-07-04",9,13,3,2,3
"E1","E1:EH","E1:EH:S","E1:EH:S:1","2017-07-04",9,23,0,8,6
"E1","E1:EH","E1:EH:S","E1:EH:S:2","2017-07-04",10,3,1,3,5
"E1","E1:EH","E1:EH:S","E1:EH:S:2","2017-07-04",10,13,6,11,3
"E1","E1:EH","E1:EH:S","E1:EH:S:2","2017-07-04",10,23,0,2,2
"E1","E1:EH","E1:EH:S","E1:EH:S:3","2017-07-04",21,3,1,0,1
"E1","E1:EH","E1:EH:S","E1:EH:S:3","2017-07-04",21,13,0,2,0
"E1","E1:EH","E1:EH:S","E1:EH:S:3","2017-07-04",21,23,0,1,0
"E1","E1:EN","E1:EN:M","E1:EN:M:1","2017-06-28",5,3,2,1,0
"E1","E1:EN","E1:EN:M","E1:EN:M:1","2017-06-28",5,13,3,2,2
"E1","E1:EN","E1:EN:M","E1:EN:M:1","2017-06-28",5,23,7,2,0
"E1","E1:EN","E1:EN:M","E1:EN:M:2","2017-06-28",14,3,3,6,1
"E1","E1:EN","E1:EN:M","E1:EN:M:2","2017-06-28",14,13,4,0,0
"E1","E1:EN","E1:EN:M","E1:EN:M:2","2017-06-28",14,23,0,0,0
"E1","E1:EN","E1:EN:M","E1:EN:M:3","2017-06-28",21,3,0,4,4
"E1","E1:EN","E1:EN:M","E1:EN:M:3","2017-06-28",21,13,1,6,1
"E1","E1:EN","E1:EN:M","E1:EN:M:3","2017-06-28",21,23,4,28,6
"E1","E1:EN","E1:EN:N","E1:EN:N:1","2017-06-28",4,3,2,3,0
"E1","E1:EN","E1:EN:N","E1:EN:N:1","2017-06-28",4,13,3,3,0
"E1","E1:EN","E1:EN:N","E1:EN:N:1","2017-06-28",4,23,0,5,1
"E1","E1:EN","E1:EN:N","E1:EN:N:2","2017-06-28",13,3,6,4,1
"E1","E1:EN","E1:EN:N","E1:EN:N:2","2017-06-28",13,13,0,1,0
"E1","E1:EN","E1:EN:N","E1:EN:N:2","2017-06-28",13,23,5,5,5
"E1","E1:EN","E1:EN:N","E1:EN:N:3","2017-06-28",25,3,1,2,3
"E1","E1:EN","E1:EN:N","E1:EN:N:3","2017-06-28",25,13,1,8,3
"E1","E1:EN","E1:EN:N","E1:EN:N:3","2017-06-28",25,23,4,4,2
"E1","E1:EN","E1:EN:S","E1:EN:S:1","2017-06-28",8,3,4,7,6
"E1","E1:EN","E1:EN:S","E1:EN:S:1","2017-06-28",8,13,2,1,0
"E1","E1:EN","E1:EN:S","E1:EN:S:1","2017-06-28",8,23,0,2,3
"E1","E1:EN","E1:EN:S","E1:EN:S:2","2017-06-28",15,3,1,14,0
"E1","E1:EN","E1:EN:S","E1:EN:S:2","2017-06-28",15,13,1,3,0
"E1","E1:EN","E1:EN:S","E1:EN:S:2","2017-06-28",15,23,2,0,0
"E1","E1:EN","E1:EN:S","E1:EN:S:3","2017-06-28",17,3,0,0,0
"E1","E1:EN","E1:EN:S","E1:EN:S:3","2017-06-28",17,13,0,0,0
"E1","E1:EN","E1:EN:S","E1:EN:S:3","2017-06-28",17,23,0,1,1
"E2","E2:CG","E2:CG:S","E2:CG:S:1","2017-07-05",12,3,0,2,1
"E2","E2:CG","E2:CG:S","E2:CG:S:1","2017-07-05",12,13,0,1,0
"E2","E2:CG","E2:CG:S","E2:CG:S:1","2017-07-05",12,23,0,0,1
"E2","E2:CG","E2:CG:S","E2:CG:S:2","2017-07-05",15,3,0,0,0
"E2","E2:CG","E2:CG:S","E2:CG:S:2","2017-07-05",15,13,3,0,0
"E2","E2:CG","E2:CG:S","E2:CG:S:2","2017-07-05",15,23,1,1,0
"E2","E2:CG","E2:CG:S","E2:CG:S:3","2017-07-05",17,3,1,0,0
"E2","E2:CG","E2:CG:S","E2:CG:S:3","2017-07-05",17,13,2,5,1
"E2","E2:CG","E2:CG:S","E2:CG:S:3","2017-07-05",17,23,2,7,1
"E2","E2:CG","E2:CG:M","E2:CG:M:1","2017-07-05",9,3,2,3,0
"E2","E2:CG","E2:CG:M","E2:CG:M:1","2017-07-05",9,13,0,0,0
"E2","E2:CG","E2:CG:M","E2:CG:M:1","2017-07-05",9,23,0,0,1
"E2","E2:CG","E2:CG:M","E2:CG:M:2","2017-07-05",NA,3,0,2,1
"E2","E2:CG","E2:CG:M","E2:CG:M:2","2017-07-05",NA,13,0,1,1
"E2","E2:CG","E2:CG:M","E2:CG:M:2","2017-07-05",NA,23,0,1,1
"E2","E2:CG","E2:CG:M","E2:CG:M:3","2017-07-05",19,3,0,1,4
"E2","E2:CG","E2:CG:M","E2:CG:M:3","2017-07-05",19,13,1,1,2
"E2","E2:CG","E2:CG:M","E2:CG:M:3","2017-07-05",19,23,2,1,2
"E2","E2:CG","E2:CG:N","E2:CG:N:1","2017-07-05",2,3,0,2,0
"E2","E2:CG","E2:CG:N","E2:CG:N:1","2017-07-05",2,13,1,2,1
"E2","E2:CG","E2:CG:N","E2:CG:N:1","2017-07-05",2,23,3,5,1
"E2","E2:CG","E2:CG:N","E2:CG:N:2","2017-07-05",1,3,0,3,1
"E2","E2:CG","E2:CG:N","E2:CG:N:2","2017-07-05",1,13,0,4,2
"E2","E2:CG","E2:CG:N","E2:CG:N:2","2017-07-05",1,23,0,0,2
"E2","E2:CG","E2:CG:N","E2:CG:N:3","2017-07-05",18,3,1,4,0
"E2","E2:CG","E2:CG:N","E2:CG:N:3","2017-07-05",18,13,1,1,0
"E2","E2:CG","E2:CG:N","E2:CG:N:3","2017-07-05",18,23,2,3,0
"E2","E2:CH","E2:CH:M","E2:CH:M:1","2017-07-05",3,3,1,0,0
"E2","E2:CH","E2:CH:M","E2:CH:M:1","2017-07-05",3,13,5,3,0
"E2","E2:CH","E2:CH:M","E2:CH:M:1","2017-07-05",3,23,0,4,9
"E2","E2:CH","E2:CH:M","E2:CH:M:2","2017-07-05",11,3,1,2,1
"E2","E2:CH","E2:CH:M","E2:CH:M:2","2017-07-05",11,13,3,3,1
"E2","E2:CH","E2:CH:M","E2:CH:M:2","2017-07-05",11,23,3,0,0
"E2","E2:CH","E2:CH:M","E2:CH:M:3","2017-07-05",8,3,4,0,3
"E2","E2:CH","E2:CH:M","E2:CH:M:3","2017-07-05",8,13,2,4,0
"E2","E2:CH","E2:CH:M","E2:CH:M:3","2017-07-05",8,23,0,0,0
"E2","E2:CH","E2:CH:N","E2:CH:N:1","2017-07-05",2,3,1,3,2
"E2","E2:CH","E2:CH:N","E2:CH:N:1","2017-07-05",2,13,7,5,22
"E2","E2:CH","E2:CH:N","E2:CH:N:1","2017-07-05",2,23,2,4,0
"E2","E2:CH","E2:CH:N","E2:CH:N:2","2017-07-05",6,3,0,2,1
"E2","E2:CH","E2:CH:N","E2:CH:N:2","2017-07-05",6,13,1,7,5
"E2","E2:CH","E2:CH:N","E2:CH:N:2","2017-07-05",6,23,0,1,1
"E2","E2:CH","E2:CH:N","E2:CH:N:3","2017-07-05",12,3,3,3,0
"E2","E2:CH","E2:CH:N","E2:CH:N:3","2017-07-05",12,13,4,2,1
"E2","E2:CH","E2:CH:N","E2:CH:N:3","2017-07-05",12,23,2,1,3
"E2","E2:CH","E2:CH:S","E2:CH:S:1","2017-07-05",7,3,2,1,0
"E2","E2:CH","E2:CH:S","E2:CH:S:1","2017-07-05",7,13,0,3,0
"E2","E2:CH","E2:CH:S","E2:CH:S:1","2017-07-05",7,23,0,1,0
"E2","E2:CH","E2:CH:S","E2:CH:S:2","2017-07-05",9,3,0,0,0
"E2","E2:CH","E2:CH:S","E2:CH:S:2","2017-07-05",9,13,1,3,4
"E2","E2:CH","E2:CH:S","E2:CH:S:2","2017-07-05",9,23,4,4,3
"E2","E2:CH","E2:CH:S","E2:CH:S:3","2017-07-05",10,3,0,1,2
"E2","E2:CH","E2:CH:S","E2:CH:S:3","2017-07-05",10,13,0,0,0
"E2","E2:CH","E2:CH:S","E2:CH:S:3","2017-07-05",10,23,2,0,0
"E2","E2:CN","E2:CN:M","E2:CN:M:1","2017-07-20",5,3,1,4,1
"E2","E2:CN","E2:CN:M","E2:CN:M:1","2017-07-20",5,13,2,6,3
"E2","E2:CN","E2:CN:M","E2:CN:M:1","2017-07-20",5,23,1,0,1
"E2","E2:CN","E2:CN:M","E2:CN:M:2","2017-07-20",14,3,0,2,0
"E2","E2:CN","E2:CN:M","E2:CN:M:2","2017-07-20",14,13,2,2,0
"E2","E2:CN","E2:CN:M","E2:CN:M:2","2017-07-20",14,23,0,1,0
"E2","E2:CN","E2:CN:M","E2:CN:M:3","2017-07-20",36,3,0,1,0
"E2","E2:CN","E2:CN:M","E2:CN:M:3","2017-07-20",36,13,5,3,2
"E2","E2:CN","E2:CN:M","E2:CN:M:3","2017-07-20",36,23,0,5,1
"E2","E2:CN","E2:CN:N","E2:CN:N:1","2017-07-10",14,3,1,0,0
"E2","E2:CN","E2:CN:N","E2:CN:N:1","2017-07-10",14,13,0,0,0
"E2","E2:CN","E2:CN:N","E2:CN:N:1","2017-07-10",14,23,0,0,0
"E2","E2:CN","E2:CN:N","E2:CN:N:2","2017-07-10",25,3,0,3,0
"E2","E2:CN","E2:CN:N","E2:CN:N:2","2017-07-10",25,13,1,2,1
"E2","E2:CN","E2:CN:N","E2:CN:N:2","2017-07-10",25,23,1,3,1
"E2","E2:CN","E2:CN:N","E2:CN:N:3","2017-07-10",40,3,0,0,0
"E2","E2:CN","E2:CN:N","E2:CN:N:3","2017-07-10",40,13,1,1,0
"E2","E2:CN","E2:CN:N","E2:CN:N:3","2017-07-10",40,23,0,2,0
"E2","E2:CN","E2:CN:S","E2:CN:S:1","2017-07-10",3,3,4,2,0
"E2","E2:CN","E2:CN:S","E2:CN:S:1","2017-07-10",3,13,1,5,0
"E2","E2:CN","E2:CN:S","E2:CN:S:1","2017-07-10",3,23,5,2,0
"E2","E2:CN","E2:CN:S","E2:CN:S:2","2017-07-10",13,3,0,0,1
"E2","E2:CN","E2:CN:S","E2:CN:S:2","2017-07-10",13,13,2,1,0
"E2","E2:CN","E2:CN:S","E2:CN:S:2","2017-07-10",13,23,0,1,1
"E2","E2:CN","E2:CN:S","E2:CN:S:3","2017-07-10",36,3,0,3,0
"E2","E2:CN","E2:CN:S","E2:CN:S:3","2017-07-10",36,13,0,0,0
"E2","E2:CN","E2:CN:S","E2:CN:S:3","2017-07-10",36,23,0,2,0
"E2","E2:EG","E2:EG:M","E2:EG:M:1","2017-07-07",0,3,1,4,2
"E2","E2:EG","E2:EG:M","E2:EG:M:1","2017-07-07",0,13,1,2,0
"E2","E2:EG","E2:EG:M","E2:EG:M:1","2017-07-07",0,23,1,2,0
"E2","E2:EG","E2:EG:M","E2:EG:M:2","2017-07-07",0,3,0,4,0
"E2","E2:EG","E2:EG:M","E2:EG:M:2","2017-07-07",0,13,1,0,0
"E2","E2:EG","E2:EG:M","E2:EG:M:2","2017-07-07",0,23,0,4,1
"E2","E2:EG","E2:EG:M","E2:EG:M:3","2017-07-07",10,3,2,1,1
"E2","E2:EG","E2:EG:M","E2:EG:M:3","2017-07-07",10,13,0,5,2
"E2","E2:EG","E2:EG:M","E2:EG:M:3","2017-07-07",10,23,0,1,0
"E2","E2:EG","E2:EG:N","E2:EG:N:1","2017-07-07",1,3,0,0,0
"E2","E2:EG","E2:EG:N","E2:EG:N:1","2017-07-07",1,13,1,9,8
"E2","E2:EG","E2:EG:N","E2:EG:N:1","2017-07-07",1,23,5,4,2
"E2","E2:EG","E2:EG:N","E2:EG:N:2","2017-07-07",1,3,1,8,4
"E2","E2:EG","E2:EG:N","E2:EG:N:2","2017-07-07",1,13,1,2,2
"E2","E2:EG","E2:EG:N","E2:EG:N:2","2017-07-07",1,23,6,3,3
"E2","E2:EG","E2:EG:N","E2:EG:N:3","2017-07-07",16,3,1,1,1
"E2","E2:EG","E2:EG:N","E2:EG:N:3","2017-07-07",16,13,2,2,2
"E2","E2:EG","E2:EG:N","E2:EG:N:3","2017-07-07",16,23,0,3,0
"E2","E2:EG","E2:EG:S","E2:EG:S:1","2017-07-07",0,3,4,3,1
"E2","E2:EG","E2:EG:S","E2:EG:S:1","2017-07-07",0,13,1,6,1
"E2","E2:EG","E2:EG:S","E2:EG:S:1","2017-07-07",0,23,1,1,1
"E2","E2:EG","E2:EG:S","E2:EG:S:2","2017-07-07",4,3,5,2,1
"E2","E2:EG","E2:EG:S","E2:EG:S:2","2017-07-07",4,13,3,6,0
"E2","E2:EG","E2:EG:S","E2:EG:S:2","2017-07-07",4,23,3,2,1
"E2","E2:EG","E2:EG:S","E2:EG:S:3","2017-07-07",8,3,1,4,3
